Name,Eastings,Northings,Elevation,Comment,Layout_x,Layout_y
Ngong II WF AG1,236944.718,9846029.731,2376.781,Gamesa Turbine,236944.718,9846029.731
Ngong II WF AG2,236922.789,9846197.111,2375.137,Gamesa Turbine,236922.789,9846197.111
Ngong II WF AG3,236947.118,9846323.489,2361.911,Gamesa Turbine,236947.118,9846323.489
Ngong II WF AG4,237008.562,9846423.521,2349.034,Gamesa Turbine,237008.562,9846423.521
Ngong II WF AG5,237029.559,9846551.776,2334.965,Gamesa Turbine,237029.559,9846551.776
Ngong II WF AG6,237023.661,9846743.266,2321.065,Gamesa Turbine,237023.661,9846743.266
Ngong II WF AG7,237009.506,9846862.862,2317.616,Gamesa Turbine,237009.506,9846862.862
Ngong II WF AG8,237095.247,9846981.229,2309.323,Gamesa Turbine,237095.247,9846981.229
Ngong II WF AG9,236977.961,9847123.455,2295.723,Gamesa Turbine,236977.961,9847123.455
Ngong II WF AG10,236985.489,9847380.825,2239.071,Gamesa Turbine,236985.489,9847380.825
Ngong II WF AG11,236976.998,9847736.504,2222.141,Gamesa Turbine,236976.998,9847736.504
Ngong II WF AG13,237158.953,9847881.979,2196.289,Gamesa Turbine,237158.953,9847881.979
Ngong II WF AG14,237255.513,9847950.427,2186.89,Gamesa Turbine,237255.513,9847950.427
Ngong II WF AG14,237061.257,9847815.822,2212.672,Gamesa Turbine,237061.257,9847815.822
Ngong II WF AG15,237352.437,9848019.373,2179.715,Gamesa Turbine,237352.437,9848019.373
Ngong II WF AG16,237439.243,9848107.184,2162.664,Gamesa Turbine,237439.243,9848107.184
Ngong II WF AG17,237510.214,9847489.094,2183.999,Gamesa Turbine,237510.214,9847489.094
V1,236570.844,9847936.821,2214.963,Vestas Turbine,236570.844,9847936.821
V2,236641.207,9847820.906,2230.508,Vestas Turbine,236641.207,9847820.906
V3,236714.445,9847734.012,2241.077,Vestas Turbine,236714.445,9847734.012
V4,236735.413,9847634.116,2239.893,Vestas Turbine,236735.413,9847634.116
V5,236764.158,9847532.026,2228.47,Vestas Turbine,236764.158,9847532.026
V6,236818.785,9847397.188,2243.351,Vestas Turbine,236818.785,9847397.188
V7,237004.113,9847256.911,2277.398,Vestas Turbine,237004.113,9847256.911
V8,237108.983,9847179.492,2296.216,Vestas Turbine,237108.983,9847179.492
V9,237189.995,9847312.767,2262.404,Vestas Turbine,237189.995,9847312.767
V11,237258.248,9847411.651,2237.125,Vestas Turbine,237258.248,9847411.651
V12,237333.552,9847536.334,2194.764,Vestas Turbine,237333.552,9847536.334
V13,237147.197,9847499.008,2201.937,Vestas Turbine,237147.197,9847499.008
V14,236959.739,9847518.827,2212.847,Vestas Turbine,236959.739,9847518.827
